--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
178             for (x=0; x<w; x++) {                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 7, 'regvd': 72, 'vulberta_cnn': 102, 'vulberta_mlp': 78}
180                 ptr[3*x  ] = scanline[x                    ];                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 51, 'regvd': 50, 'vulberta_cnn': 36, 'vulberta_mlp': 77}
182                 ptr[3*x+1] = scanline[x+ bytes_per_line    ];                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 32, 'regvd': 16, 'vulberta_cnn': 93, 'vulberta_mlp': 19}
184                 ptr[3*x+2] = scanline[x+(bytes_per_line<<1)];                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 16, 'regvd': 1, 'vulberta_cnn': 10, 'vulberta_mlp': 37}
186             }                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 130, 'vulberta_cnn': 45, 'vulberta_mlp': 76}
190             ptr += stride;                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 37, 'regvd': 99, 'vulberta_cnn': 35, 'vulberta_mlp': 75}
192         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 129, 'vulberta_cnn': 59, 'vulberta_mlp': 74}
196     } else if (nplanes == 1 && bits_per_pixel == 8) {                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 15, 'regvd': 35, 'vulberta_cnn': 92, 'vulberta_mlp': 73}
198         const uint8_t *palstart = bufstart + buf_size - 769;                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 11, 'regvd': 27, 'vulberta_cnn': 12, 'vulberta_mlp': 72}
202         for (y=0; y<h; y++, ptr+=stride) {                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 0, 'regvd': 53, 'vulberta_cnn': 66, 'vulberta_mlp': 71}
204             buf = pcx_rle_decode(buf, scanline, bytes_per_scanline, compressed);             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 20, 'regvd': 4, 'vulberta_cnn': 97, 'vulberta_mlp': 26}
206             memcpy(ptr, scanline, w);                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 86, 'regvd': 62, 'vulberta_cnn': 105, 'vulberta_mlp': 70}
208         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 128, 'vulberta_cnn': 51, 'vulberta_mlp': 69}
212         if (buf != palstart) {                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 58, 'regvd': 77, 'vulberta_cnn': 16, 'vulberta_mlp': 68}
214             av_log(avctx, AV_LOG_WARNING, "image data possibly corrupted\n");                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 11, 'vulberta_cnn': 103, 'vulberta_mlp': 67}
216             buf = palstart;                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 100, 'regvd': 94, 'vulberta_cnn': 74, 'vulberta_mlp': 66}
218         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 127, 'vulberta_cnn': 43, 'vulberta_mlp': 65}
220         if (*buf++ != 12) {                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 39, 'regvd': 67, 'vulberta_cnn': 32, 'vulberta_mlp': 33}
222             av_log(avctx, AV_LOG_ERROR, "expected palette after image data\n");              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 17, 'vulberta_cnn': 91, 'vulberta_mlp': 64}
224             ret = AVERROR_INVALIDDATA;                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 99, 'regvd': 70, 'vulberta_cnn': 19, 'vulberta_mlp': 63}
226             goto end;                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 107, 'regvd': 114, 'vulberta_cnn': 96, 'vulberta_mlp': 62}
228         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 126, 'vulberta_cnn': 76, 'vulberta_mlp': 61}
232     } else if (nplanes == 1) {   /* all packed formats, max. 16 colors */                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 46, 'regvd': 37, 'vulberta_cnn': 31, 'vulberta_mlp': 60}
234         GetBitContext s;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 104, 'regvd': 100, 'vulberta_cnn': 100, 'vulberta_mlp': 59}
238         for (y=0; y<h; y++) {                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 3, 'regvd': 85, 'vulberta_cnn': 78, 'vulberta_mlp': 58}
240             init_get_bits(&s, scanline, bytes_per_scanline<<3);                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 102, 'regvd': 39, 'vulberta_cnn': 30, 'vulberta_mlp': 45}
244             buf = pcx_rle_decode(buf, scanline, bytes_per_scanline, compressed);             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 19, 'regvd': 3, 'vulberta_cnn': 18, 'vulberta_mlp': 57}
248             for (x=0; x<w; x++)                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 6, 'regvd': 75, 'vulberta_cnn': 80, 'vulberta_mlp': 56}
250                 ptr[x] = get_bits(&s, bits_per_pixel);                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 85, 'regvd': 31, 'vulberta_cnn': 90, 'vulberta_mlp': 55}
252             ptr += stride;                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 36, 'regvd': 98, 'vulberta_cnn': 61, 'vulberta_mlp': 54}
254         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 125, 'vulberta_cnn': 50, 'vulberta_mlp': 53}
258     } else {    /* planar, 4, 8 or 16 colors */                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 75, 'regvd': 88, 'vulberta_cnn': 72, 'vulberta_mlp': 52}
260         int i;                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 105, 'regvd': 106, 'vulberta_cnn': 99, 'vulberta_mlp': 51}
264         for (y=0; y<h; y++) {                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 2, 'regvd': 84, 'vulberta_cnn': 109, 'vulberta_mlp': 50}
266             buf = pcx_rle_decode(buf, scanline, bytes_per_scanline, compressed);             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 18, 'regvd': 2, 'vulberta_cnn': 0, 'vulberta_mlp': 46}
270             for (x=0; x<w; x++) {                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 5, 'regvd': 71, 'vulberta_cnn': 67, 'vulberta_mlp': 49}
272                 int m = 0x80 >> (x&7), v = 0;                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 12, 'regvd': 51, 'vulberta_cnn': 42, 'vulberta_mlp': 48}
274                 for (i=nplanes - 1; i>=0; i--) {                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 34, 'regvd': 59, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
276                     v <<= 1;                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 96, 'regvd': 103, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
278                     v  += !!(scanline[i*bytes_per_line + (x>>3)] & m);                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 23, 'regvd': 8, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
280                 }                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 124, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
282                 ptr[x] = v;                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 77, 'regvd': 91, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
284             }                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 123, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
286             ptr += stride;                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 35, 'regvd': 97, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
288         }                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 122, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
290     }                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 121, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
294     if (nplanes == 1 && bits_per_pixel == 8) {                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 14, 'regvd': 38, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
296         pcx_palette(&buf, (uint32_t *) p->data[1], 256);                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 48, 'regvd': 0, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
298     } else if (bits_per_pixel * nplanes == 1) {                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 31, 'regvd': 32, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
300         AV_WN32A(p->data[1]  , 0xFF000000);                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 53, 'regvd': 23, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
302         AV_WN32A(p->data[1]+4, 0xFFFFFFFF);                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 52, 'regvd': 15, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
304     } else if (bits_per_pixel < 8) {                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 90, 'regvd': 61, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
306         const uint8_t *palette = bufstart+16;                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 13, 'regvd': 26, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
308         pcx_palette(&palette, (uint32_t *) p->data[1], 16);                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 47, 'regvd': 6, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
310     }                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 120, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
314     *picture = s->picture;                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 40, 'regvd': 87, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
316     *data_size = sizeof(AVFrame);                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 42, 'regvd': 46, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
320     ret = buf - bufstart;                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 71, 'regvd': 95, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
322 end:                                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 84, 'regvd': 117, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
324     av_free(scanline);                                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 101, 'regvd': 66, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
326     return ret;                                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 72, 'regvd': 112, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
328 }                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': -1, 'regvd': 119, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
-----------------------
Highlighted lines: 
0 static int pcx_decode_frame(AVCodecContext *avctx, void *data, int *data_size,
4     const uint8_t *buf = avpkt->data;
16     unsigned int w, h, bits_per_pixel, bytes_per_line, nplanes, stride, y, x,
--------------------------------------------------------------------------------------------------------------
Example ids:  23956 project:  qemu commit id:  81907a582901671c15be36a63b5063f88f3487e2 Number of lines:  90 tground truth:  1
Original lines: 
Predicted Correctly by :  ['codebert', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
0 void cpsr_write(CPUARMState *env, uint32_t val, uint32_t mask,                                {'codebert': 1, 'PLBART': 0, 'devign': 0, 'vulberta_cnn': 61, 'vulberta_mlp': 14}
2                 CPSRWriteType write_type)                                                     {'codebert': 0, 'PLBART': 9, 'devign': 37, 'vulberta_cnn': 62, 'vulberta_mlp': 57}
4 {                                                                                             {'codebert': 19, 'PLBART': 13, 'devign': 193, 'vulberta_cnn': 23, 'vulberta_mlp': 9}
6     uint32_t changed_daif;                                                                    {'codebert': 2, 'PLBART': 8, 'devign': 52, 'vulberta_cnn': 65, 'vulberta_mlp': 53}
10     if (mask & CPSR_NZCV) {                                                                  {'codebert': 3, 'PLBART': 10, 'devign': 18, 'vulberta_cnn': 32, 'vulberta_mlp': 26}
12         env->ZF = (~val) & CPSR_Z;                                                           {'codebert': 5, 'PLBART': 2, 'devign': 30, 'vulberta_cnn': 0, 'vulberta_mlp': 43}
14         env->NF = val;                                                                       {'codebert': 7, 'PLBART': 11, 'devign': 51, 'vulberta_cnn': 15, 'vulberta_mlp': 40}
16         env->CF = (val >> 29) & 1;                                                           {'codebert': 13, 'PLBART': 6, 'devign': 29, 'vulberta_cnn': 52, 'vulberta_mlp': 56}
18         env->VF = (val << 3) & 0x80000000;                                                   {'codebert': 12, 'PLBART': 4, 'devign': 19, 'vulberta_cnn': 59, 'vulberta_mlp': 36}
20     }                                                                                        {'codebert': 21, 'PLBART': 14, 'devign': 183, 'vulberta_cnn': 27, 'vulberta_mlp': 8}
22     if (mask & CPSR_Q)                                                                       {'codebert': 14, 'PLBART': 7, 'devign': 24, 'vulberta_cnn': 45, 'vulberta_mlp': 16}
24         env->QF = ((val & CPSR_Q) != 0);                                                     {'codebert': 11, 'PLBART': 1, 'devign': 21, 'vulberta_cnn': 6, 'vulberta_mlp': 41}
26     if (mask & CPSR_T)                                                                       {'codebert': 15, 'PLBART': 5, 'devign': 20, 'vulberta_cnn': 57, 'vulberta_mlp': 24}
28         env->thumb = ((val & CPSR_T) != 0);                                                  {'codebert': 4, 'PLBART': 3, 'devign': 22, 'vulberta_cnn': 14, 'vulberta_mlp': 51}
30     if (mask & CPSR_IT_0_1) {                                                                {'codebert': 18, 'PLBART': 12, 'devign': 16, 'vulberta_cnn': 36, 'vulberta_mlp': 23}
32         env->condexec_bits &= ~3;                                                            {'codebert': 9, 'PLBART': -1, 'devign': 40, 'vulberta_cnn': 38, 'vulberta_mlp': 28}
34         env->condexec_bits |= (val >> 25) & 3;                                               {'codebert': 8, 'PLBART': -1, 'devign': 5, 'vulberta_cnn': 60, 'vulberta_mlp': 21}
36     }                                                                                        {'codebert': 20, 'PLBART': -1, 'devign': 174, 'vulberta_cnn': 29, 'vulberta_mlp': 7}
38     if (mask & CPSR_IT_2_7) {                                                                {'codebert': 17, 'PLBART': -1, 'devign': 17, 'vulberta_cnn': 69, 'vulberta_mlp': 46}
40         env->condexec_bits &= 3;                                                             {'codebert': 10, 'PLBART': -1, 'devign': 49, 'vulberta_cnn': 68, 'vulberta_mlp': 22}
42         env->condexec_bits |= (val >> 8) & 0xfc;                                             {'codebert': 6, 'PLBART': -1, 'devign': 23, 'vulberta_cnn': 7, 'vulberta_mlp': 48}
44     }                                                                                        {'codebert': 22, 'PLBART': -1, 'devign': 169, 'vulberta_cnn': 41, 'vulberta_mlp': 69}
46     if (mask & CPSR_GE) {                                                                    {'codebert': 16, 'PLBART': -1, 'devign': 25, 'vulberta_cnn': 35, 'vulberta_mlp': 50}
48         env->GE = (val >> 16) & 0xf;                                                         {'codebert': -1, 'PLBART': -1, 'devign': 27, 'vulberta_cnn': 56, 'vulberta_mlp': 68}
50     }                                                                                        {'codebert': -1, 'PLBART': -1, 'devign': 165, 'vulberta_cnn': 30, 'vulberta_mlp': 67}
54     /* In a V7 implementation that includes the security extensions but does                 {'codebert': -1, 'PLBART': -1, 'devign': 161, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
56      * not include Virtualization Extensions the SCR.FW and SCR.AW bits control              {'codebert': -1, 'PLBART': -1, 'devign': 159, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
58      * whether non-secure software is allowed to change the CPSR_F and CPSR_A                {'codebert': -1, 'PLBART': -1, 'devign': 157, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
60      * bits respectively.                                                                    {'codebert': -1, 'PLBART': -1, 'devign': 155, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
62      *                                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 153, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
64      * In a V8 implementation, it is permitted for privileged software to                    {'codebert': -1, 'PLBART': -1, 'devign': 42, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
66      * change the CPSR A/F bits regardless of the SCR.AW/FW bits.                            {'codebert': -1, 'PLBART': -1, 'devign': 150, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
68      */                                                                                      {'codebert': -1, 'PLBART': -1, 'devign': 148, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
70     if (write_type != CPSRWriteRaw && !arm_feature(env, ARM_FEATURE_V8) &&                   {'codebert': -1, 'PLBART': -1, 'devign': 13, 'vulberta_cnn': 53, 'vulberta_mlp': 39}
72         arm_feature(env, ARM_FEATURE_EL3) &&                                                 {'codebert': -1, 'PLBART': -1, 'devign': 12, 'vulberta_cnn': 51, 'vulberta_mlp': 45}
74         !arm_feature(env, ARM_FEATURE_EL2) &&                                                {'codebert': -1, 'PLBART': -1, 'devign': 11, 'vulberta_cnn': 66, 'vulberta_mlp': 52}
76         !arm_is_secure(env)) {                                                               {'codebert': -1, 'PLBART': -1, 'devign': 36, 'vulberta_cnn': 11, 'vulberta_mlp': 49}
80         changed_daif = (env->daif ^ val) & mask;                                             {'codebert': -1, 'PLBART': -1, 'devign': 14, 'vulberta_cnn': 49, 'vulberta_mlp': 58}
84         if (changed_daif & CPSR_A) {                                                         {'codebert': -1, 'PLBART': -1, 'devign': 28, 'vulberta_cnn': 50, 'vulberta_mlp': 55}
86             /* Check to see if we are allowed to change the masking of async                 {'codebert': -1, 'PLBART': -1, 'devign': 136, 'vulberta_cnn': 19, 'vulberta_mlp': 66}
88              * abort exceptions from a non-secure state.                                     {'codebert': -1, 'PLBART': -1, 'devign': 134, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
90              */                                                                              {'codebert': -1, 'PLBART': -1, 'devign': 132, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
92             if (!(env->cp15.scr_el3 & SCR_AW)) {                                             {'codebert': -1, 'PLBART': -1, 'devign': 9, 'vulberta_cnn': 9, 'vulberta_mlp': 54}
94                 qemu_log_mask(LOG_GUEST_ERROR,                                               {'codebert': -1, 'PLBART': -1, 'devign': 3, 'vulberta_cnn': 58, 'vulberta_mlp': 30}
96                               "Ignoring attempt to switch CPSR_A flag from "                 {'codebert': -1, 'PLBART': -1, 'devign': 128, 'vulberta_cnn': 13, 'vulberta_mlp': 38}
98                               "non-secure world with SCR.AW bit clear\n");                   {'codebert': -1, 'PLBART': -1, 'devign': 45, 'vulberta_cnn': 43, 'vulberta_mlp': 1}
100                 mask &= ~CPSR_A;                                                            {'codebert': -1, 'PLBART': -1, 'devign': 48, 'vulberta_cnn': 21, 'vulberta_mlp': 31}
102             }                                                                               {'codebert': -1, 'PLBART': -1, 'devign': 124, 'vulberta_cnn': 18, 'vulberta_mlp': 6}
104         }                                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 122, 'vulberta_cnn': 33, 'vulberta_mlp': 65}
108         if (changed_daif & CPSR_F) {                                                        {'codebert': -1, 'PLBART': -1, 'devign': 15, 'vulberta_cnn': 48, 'vulberta_mlp': 44}
110             /* Check to see if we are allowed to change the masking of FIQ                  {'codebert': -1, 'PLBART': -1, 'devign': 117, 'vulberta_cnn': 16, 'vulberta_mlp': 64}
112              * exceptions from a non-secure state.                                          {'codebert': -1, 'PLBART': -1, 'devign': 115, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
114              */                                                                             {'codebert': -1, 'PLBART': -1, 'devign': 113, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
116             if (!(env->cp15.scr_el3 & SCR_FW)) {                                            {'codebert': -1, 'PLBART': -1, 'devign': 8, 'vulberta_cnn': 8, 'vulberta_mlp': 34}
118                 qemu_log_mask(LOG_GUEST_ERROR,                                              {'codebert': -1, 'PLBART': -1, 'devign': 2, 'vulberta_cnn': 22, 'vulberta_mlp': 11}
120                               "Ignoring attempt to switch CPSR_F flag from "                {'codebert': -1, 'PLBART': -1, 'devign': 109, 'vulberta_cnn': 39, 'vulberta_mlp': 25}
122                               "non-secure world with SCR.FW bit clear\n");                  {'codebert': -1, 'PLBART': -1, 'devign': 44, 'vulberta_cnn': 20, 'vulberta_mlp': 12}
124                 mask &= ~CPSR_F;                                                            {'codebert': -1, 'PLBART': -1, 'devign': 39, 'vulberta_cnn': 63, 'vulberta_mlp': 19}
126             }                                                                               {'codebert': -1, 'PLBART': -1, 'devign': 105, 'vulberta_cnn': 46, 'vulberta_mlp': 63}
130             /* Check whether non-maskable FIQ (NMFI) support is enabled.                    {'codebert': -1, 'PLBART': -1, 'devign': 35, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
132              * If this bit is set software is not allowed to mask                           {'codebert': -1, 'PLBART': -1, 'devign': 100, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
134              * FIQs, but is allowed to set CPSR_F to 0.                                     {'codebert': -1, 'PLBART': -1, 'devign': 41, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
136              */                                                                             {'codebert': -1, 'PLBART': -1, 'devign': 97, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
138             if ((A32_BANKED_CURRENT_REG_GET(env, sctlr) & SCTLR_NMFI) &&                    {'codebert': -1, 'PLBART': -1, 'devign': 10, 'vulberta_cnn': 1, 'vulberta_mlp': 18}
140                 (val & CPSR_F)) {                                                           {'codebert': -1, 'PLBART': -1, 'devign': 34, 'vulberta_cnn': 3, 'vulberta_mlp': 29}
142                 qemu_log_mask(LOG_GUEST_ERROR,                                              {'codebert': -1, 'PLBART': -1, 'devign': 1, 'vulberta_cnn': 28, 'vulberta_mlp': 17}
144                               "Ignoring attempt to enable CPSR_F flag "                     {'codebert': -1, 'PLBART': -1, 'devign': 92, 'vulberta_cnn': 34, 'vulberta_mlp': 10}
146                               "(non-maskable FIQ [NMFI] support enabled)\n");               {'codebert': -1, 'PLBART': -1, 'devign': 33, 'vulberta_cnn': 42, 'vulberta_mlp': 5}
148                 mask &= ~CPSR_F;                                                            {'codebert': -1, 'PLBART': -1, 'devign': 38, 'vulberta_cnn': 40, 'vulberta_mlp': 0}
150             }                                                                               {'codebert': -1, 'PLBART': -1, 'devign': 88, 'vulberta_cnn': 44, 'vulberta_mlp': 62}
152         }                                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 86, 'vulberta_cnn': 26, 'vulberta_mlp': 4}
154     }                                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 84, 'vulberta_cnn': 37, 'vulberta_mlp': 61}
158     env->daif &= ~(CPSR_AIF & mask);                                                        {'codebert': -1, 'PLBART': -1, 'devign': 7, 'vulberta_cnn': 55, 'vulberta_mlp': 33}
160     env->daif |= val & CPSR_AIF & mask;                                                     {'codebert': -1, 'PLBART': -1, 'devign': 47, 'vulberta_cnn': 67, 'vulberta_mlp': 20}
164     if (write_type != CPSRWriteRaw &&                                                       {'codebert': -1, 'PLBART': -1, 'devign': 43, 'vulberta_cnn': 10, 'vulberta_mlp': 27}
166         (env->uncached_cpsr & CPSR_M) != CPSR_USER &&                                       {'codebert': -1, 'PLBART': -1, 'devign': 32, 'vulberta_cnn': 5, 'vulberta_mlp': 2}
168         ((env->uncached_cpsr ^ val) & mask & CPSR_M)) {                                     {'codebert': -1, 'PLBART': -1, 'devign': 31, 'vulberta_cnn': 64, 'vulberta_mlp': 32}
170         if (bad_mode_switch(env, val & CPSR_M)) {                                           {'codebert': -1, 'PLBART': -1, 'devign': 4, 'vulberta_cnn': 2, 'vulberta_mlp': 47}
172             /* Attempt to switch to an invalid mode: this is UNPREDICTABLE.                 {'codebert': -1, 'PLBART': -1, 'devign': 72, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
174              * We choose to ignore the attempt and leave the CPSR M field                   {'codebert': -1, 'PLBART': -1, 'devign': 70, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
176              * untouched.                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 68, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
178              */                                                                             {'codebert': -1, 'PLBART': -1, 'devign': 66, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
180             mask &= ~CPSR_M;                                                                {'codebert': -1, 'PLBART': -1, 'devign': 50, 'vulberta_cnn': 24, 'vulberta_mlp': 13}
182         } else {                                                                            {'codebert': -1, 'PLBART': -1, 'devign': 63, 'vulberta_cnn': 12, 'vulberta_mlp': 37}
184             switch_mode(env, val & CPSR_M);                                                 {'codebert': -1, 'PLBART': -1, 'devign': 6, 'vulberta_cnn': 47, 'vulberta_mlp': 15}
186         }                                                                                   {'codebert': -1, 'PLBART': -1, 'devign': 60, 'vulberta_cnn': 25, 'vulberta_mlp': 60}
188     }                                                                                       {'codebert': -1, 'PLBART': -1, 'devign': 58, 'vulberta_cnn': 31, 'vulberta_mlp': 3}
190     mask &= ~CACHED_CPSR_BITS;                                                              {'codebert': -1, 'PLBART': -1, 'devign': 46, 'vulberta_cnn': 17, 'vulberta_mlp': 42}
192     env->uncached_cpsr = (env->uncached_cpsr & ~mask) | (val & mask);                       {'codebert': -1, 'PLBART': -1, 'devign': 26, 'vulberta_cnn': 54, 'vulberta_mlp': 35}
194 }                                                                                           {'codebert': -1, 'PLBART': -1, 'devign': 54, 'vulberta_cnn': 4, 'vulberta_mlp': 59}
-----------------------
Highlighted lines: 
0 void cpsr_write(CPUARMState *env, uint32_t val, uint32_t mask,
12         env->ZF = (~val) & CPSR_Z;
--------------------------------------------------------------------------------------------------------------
Example ids:  24230 project:  FFmpeg commit id:  86dfcfd0e30d6645eea2c63c1c60a0550e7c97ea Number of lines:  65 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'codebert', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int read_kuki_chunk(AVFormatContext *s, int64_t size)                                         {'linevul': 9, 'codebert': 2, 'devign': 10, 'regvd': 14, 'vulberta_cnn': 31, 'vulberta_mlp': 15}
2 {                                                                                                    {'linevul': 24, 'codebert': 6, 'devign': -1, 'regvd': 58, 'vulberta_cnn': 32, 'vulberta_mlp': 57}
4     AVIOContext *pb = s->pb;                                                                         {'linevul': 16, 'codebert': 7, 'devign': 18, 'regvd': 39, 'vulberta_cnn': 55, 'vulberta_mlp': 56}
6     AVStream *st      = s->streams[0];                                                               {'linevul': 12, 'codebert': 5, 'devign': 13, 'regvd': 34, 'vulberta_cnn': 4, 'vulberta_mlp': 46}
